mScore	amt_id	m	aWeights	aPriors	amt_trial	xText	xType	xA	xCond	EIG	y	mY	alternate	repeat	domain	[false,false,false]	[false,false,true]	[false,true,false]	[false,true,true]	[true,false,false]	[true,false,true]	[true,true,false]	[true,true,true]
-9.309871188547	A149ROBL26JWPJ:3EJPLAJKENC2HN754G7PERXQ64LZ6Q		{"bright":[],"hot":[0.9],"on":[0.9]}	{"bright":0.4,"hot":0.4,"on":0.4}	3	Imagine 100 lightbulbs that are on. What proportion are bright? in [0, 1]	conditional	bright	{"on":true}	0.230548776954066	0.6000000000000001	0.49552303996505787	false	false	tomato plants	0.216	0.144	0.014399999999999982	0.22560000000000005	0.014399999999999982	0.00959999999999999	0.02255999999999998	0.3534400000000001
-7.24515539541898	A149ROBL26JWPJ:3EJPLAJKENC2HN754G7PERXQ64LZ6Q		{"bright":[],"hot":[0.9],"on":[0.9]}	{"bright":0.5,"hot":0.4,"on":0.4}	4	Imagine 100 lightbulbs that are bright. What proportion are on? in [0, 1]	conditional	on	{"bright":true}	0.26457608226355506	0.8	0.9076000000000001	false	false	tomato plants	0.18	0.12	0.011999999999999981	0.18800000000000006	0.017999999999999985	0.011999999999999981	0.028199999999999975	0.4418
-5.904010161238911	A149ROBL26JWPJ:3EJPLAJKENC2HN754G7PERXQ64LZ6Q		{"bright":[],"hot":[0.8],"on":[0.9]}	{"bright":0.4,"hot":0.30000000000000004,"on":0.1}	5	Imagine 100 lightbulbs that are bright. What proportion are on? in [0, 1]	conditional	on	{"bright":true}	0.25416581738845606	0.8	0.7966000000000002	false	true	tomato plants	0.37799999999999995	0.04199999999999998	0.016199999999999985	0.16379999999999997	0.050399999999999945	0.005599999999999997	0.030959999999999998	0.3130400000000001
-5.570675816440486	A149ROBL26JWPJ:3EJPLAJKENC2HN754G7PERXQ64LZ6Q		{"bright":[],"hot":[0.8],"on":[0.9]}	{"bright":0.4,"hot":0.30000000000000004,"on":0.1}	6	Imagine 100 lightbulbs that are hot. What proportion are on? in [0, 1]	conditional	on	{"hot":true}	0.23790160358286283	0.7000000000000001	0.91	true	false	tomato plants	0.37799999999999995	0.04199999999999998	0.016199999999999985	0.16379999999999997	0.050399999999999945	0.005599999999999997	0.030959999999999998	0.3130400000000001
-4.726121887193371	A149ROBL26JWPJ:3EJPLAJKENC2HN754G7PERXQ64LZ6Q		{"bright":[],"hot":[0.9],"on":[0.7000000000000001]}	{"bright":0.6000000000000001,"hot":0.9,"on":0.2}	7	Imagine 100 lightbulbs that are bright. What proportion are on? in [0, 1]	conditional	on	{"bright":true}	0.2534232143574528	0.8	0.7543999999999998	false	true	tomato plants	0.03199999999999999	0.007999999999999997	0.08639999999999994	0.2735999999999999	0.004800000000000004	0.0012	0.14256000000000002	0.45144
-4.615229910335094	A149ROBL26JWPJ:3EJPLAJKENC2HN754G7PERXQ64LZ6Q		{"bright":[],"hot":[0.9],"on":[0.7000000000000001]}	{"bright":0.6000000000000001,"hot":0.9,"on":0.30000000000000004}	8	Imagine 100 lightbulbs that are bright. What proportion are hot? in [0, 1]	conditional	hot	{"bright":true}	0.23578887779769322	0.9	0.99	true	false	tomato plants	0.027999999999999983	0.011999999999999992	0.07559999999999997	0.2843999999999998	0.0042000000000000015	0.0018000000000000008	0.12473999999999999	0.46926
-3.893750290823804	A149ROBL26JWPJ:3EJPLAJKENC2HN754G7PERXQ64LZ6Q		{"bright":[],"hot":[0.9],"on":[0.6000000000000001]}	{"bright":0.5,"hot":0.1,"on":0.5}	9	Imagine 100 lightbulbs that are bright. What proportion are on? in [0, 1]	conditional	on	{"bright":true}	0.24800703663673393	0.8	0.773	false	true	tomato plants	0.22500000000000006	0.22500000000000006	0.009999999999999993	0.04000000000000001	0.02249999999999999	0.02249999999999999	0.09099999999999997	0.36400000000000005
-3.7925185733955367	A149ROBL26JWPJ:3EJPLAJKENC2HN754G7PERXQ64LZ6Q		{"bright":[],"hot":[0.9],"on":[0.6000000000000001]}	{"bright":0.5,"hot":0.1,"on":0.5}	10	Imagine 100 lightbulbs that are bright. What proportion are hot? in [0, 1]	conditional	hot	{"bright":true}	0.23143540123305867	0.9	0.91	true	true	tomato plants	0.22500000000000006	0.22500000000000006	0.009999999999999993	0.04000000000000001	0.02249999999999999	0.02249999999999999	0.09099999999999997	0.36400000000000005
-3.465827400539791	A149ROBL26JWPJ:3EJPLAJKENC2HN754G7PERXQ64LZ6Q		{"bright":[],"hot":[0.9],"on":[0.6000000000000001]}	{"bright":0.5,"hot":0.1,"on":0.5}	11	Imagine 100 lightbulbs that are bright. What proportion are on? in [0, 1]	conditional	on	{"bright":true}	0.231388323818309	0.8	0.773	false	true	tomato plants	0.22500000000000006	0.22500000000000006	0.009999999999999993	0.04000000000000001	0.02249999999999999	0.02249999999999999	0.09099999999999997	0.36400000000000005
-3.4571316379974766	A149ROBL26JWPJ:3EJPLAJKENC2HN754G7PERXQ64LZ6Q		{"bright":[],"hot":[0.9],"on":[0.6000000000000001]}	{"bright":0.5,"hot":0.1,"on":0.5}	12	Imagine 100 lightbulbs that are bright. What proportion are on? in [0, 1]	conditional	on	{"bright":true}	0.21338751424073726	0.8	0.773	false	true	tomato plants	0.22500000000000006	0.22500000000000006	0.009999999999999993	0.04000000000000001	0.02249999999999999	0.02249999999999999	0.09099999999999997	0.36400000000000005
-9.34475531518575	A16ANYLVNPKCVG:34BBWHLWHB7EGCX1VUW7CQTDYTCWIR		{"bright":[0.9],"hot":[0.9],"on":[]}	{"bright":0.5,"hot":0.5,"on":0.5}	3	Imagine 100 lightbulbs that are on. What proportion are bright? in [0, 1]	conditional	bright	{"on":true}	0.23123132762358384	0.9	0.95	false	false	tomato plants	0.125	0.0012500000000000024	0.125	0.023750000000000018	0.125	0.023750000000000018	0.125	0.45124999999999993
-7.95966378107067	A16ANYLVNPKCVG:34BBWHLWHB7EGCX1VUW7CQTDYTCWIR		{"bright":[0.9],"hot":[0.9],"on":[]}	{"bright":0.1,"hot":0.5,"on":0.5}	4	Imagine 100 lightbulbs that are hot. What proportion are bright? in [0, 1]	conditional	bright	{"hot":true}	0.23901213332976523	0.8	0.6306896551724138	true	false	tomato plants	0.22500000000000006	0.0022500000000000003	0.22500000000000006	0.04274999999999997	0.025	0.022750000000000024	0.025	0.43225
-6.646046763778957	A16ANYLVNPKCVG:34BBWHLWHB7EGCX1VUW7CQTDYTCWIR		{"bright":[0.9],"hot":[0.9],"on":[]}	{"bright":0.1,"hot":0.1,"on":0.4}	5	Imagine 100 lightbulbs that are on. What proportion are hot? in [0, 1]	conditional	hot	{"on":true}	0.22906615386297308	0.8	0.91	true	false	tomato plants	0.48599999999999993	0.0032399999999999985	0.05400000000000002	0.03275999999999999	0.054	0.03275999999999999	0.005999999999999996	0.33124000000000003
-5.16160896079986	A16ANYLVNPKCVG:34BBWHLWHB7EGCX1VUW7CQTDYTCWIR		{"bright":[0.9],"hot":[0.8],"on":[]}	{"bright":0.1,"hot":0.1,"on":0.4}	6	Imagine 100 lightbulbs that are bright. What proportion are hot? in [0, 1]	conditional	hot	{"bright":true}	0.22109157934243073	0.8	0.71811320754717	true	false	tomato plants	0.48600000000000004	0.006479999999999997	0.05400000000000002	0.029519999999999998	0.05400000000000002	0.06551999999999995	0.005999999999999996	0.29848000000000013
