t1,t2,eig
TFTF,TFFF,0.8451642036371669
TFTF,TFFT,0.5115115159883993
TFTF,TFTF,0.48323523491946213
TFTF,TFTT,0.8391164939985704
TFTF,TTFF,0.5115115159883993
TFTF,TTFT,0.8391164939985704
TFTF,TTTF,0.8391164939985704
TFTF,TTTT,0.977374764115022
TFTT,FFFF,0.9602861567259857
TFTT,FFFT,0.6675810794140377
TFTT,FFTF,0.6675810794140377
TFTT,FFTT,0.692579982484452
TFTT,FTFF,0.6675810794140371
TFTT,FTFT,0.8391164939985694
TFTT,FTTF,0.692579982484452
TFTT,FTTT,0.7472056129374551
TFTT,TFFF,0.7472056129374552
TFTT,TFFT,0.6925799824844519
TFTT,TFTF,0.8391164939985695
TFTT,TFTT,0.667581079414037
TFTT,TTFF,0.6925799824844519
TFTT,TTFT,0.667581079414037
TFTT,TTTF,0.667581079414037
TFTT,TTTT,0.9602861567259859
TTFF,FFFF,0.8876213309726639
TTFF,FFFT,0.6925799824844507
TTFF,FFTF,0.6925799824844507
TTFF,FFTT,0.36125405690200724
TTFF,FTFF,0.6925799824844506
TTFF,FTFT,0.5115115159883994
TTFF,FTTF,0.36125405690200724
TTFF,FTTT,0.6483185167156742
TTFF,TFFF,0.6483185167156742
TTFF,TFFT,0.3612540569020074
TTFF,TFTF,0.5115115159883996
TTFF,TFTT,0.6925799824844509
TTFF,TTFF,0.3612540569020074
TTFF,TTFT,0.6925799824844509
TTFF,TTTF,0.6925799824844509
TTFF,TTTT,0.8876213309726638
TTFT,FFFF,0.9602861567259857
TTFT,FFFT,0.6675810794140377
TTFT,FFTF,0.6675810794140377
TTFT,FFTT,0.692579982484452
TTFT,FTFF,0.6675810794140371
TTFT,FTFT,0.8391164939985694
TTFT,FTTF,0.692579982484452
TTFT,FTTT,0.7472056129374551
TTFT,TFFF,0.7472056129374552
TTFT,TFFT,0.6925799824844519
TTFT,TFTF,0.8391164939985695
TTFT,TFTT,0.667581079414037
TTFT,TTFF,0.6925799824844519
TTFT,TTFT,0.667581079414037
TTFT,TTTF,0.667581079414037
TTFT,TTTT,0.9602861567259859
TTTF,FFFF,0.9602861567259857
TTTF,FFFT,0.6675810794140377
TTTF,FFTF,0.6675810794140377
TTTF,FFTT,0.692579982484452
TTTF,FTFF,0.6675810794140371
TTTF,FTFT,0.8391164939985694
TTTF,FTTF,0.692579982484452
TTTF,FTTT,0.7472056129374551
TTTF,TFFF,0.7472056129374552
TTTF,TFFT,0.6925799824844519
TTTF,TFTF,0.8391164939985695
TTTF,TFTT,0.667581079414037
TTTF,TTFF,0.6925799824844519
TTTF,TTFT,0.667581079414037
TTTF,TTTF,0.667581079414037
TTTF,TTTT,0.9602861567259859
TTTT,FFFF,0.9093470523990635
TTTT,FFFT,0.9602861567259858
TTTT,FFTF,0.9602861567259858
TTTT,FFTT,0.8876213309726643
TTTT,FTFF,0.9602861567259857
TTTT,FTFT,0.9773747641150227
TTTT,FTTF,0.8876213309726643
TTTT,FTTT,0.8441313163072992
TTTT,TFFF,0.8441313163072993
TTTT,TFFT,0.8876213309726645
TTTT,TFTF,0.9773747641150233
TTTT,TFTT,0.9602861567259856
TTTT,TTFF,0.8876213309726645
TTTT,TTFT,0.9602861567259856
TTTT,TTTF,0.9602861567259856
TTTT,TTTT,0.9093470523990632
