t1,t2,t3,eig
FFFF,TFFF,TFTT,0.9627
FFFF,TFFF,TTFF,0.9016
FFFF,TFFF,TTFT,0.9627
FFFF,TFFF,TTTF,0.9627
FFFF,TFFF,TTTT,0.9393
FFFF,TFFT,FFFF,0.9636
FFFF,TFFT,FFFT,0.9616
FFFF,TFFT,FFTF,0.9616
FFFF,TFFT,FFTT,0.9082
FFFF,TFFT,FTFF,0.9616
FFFF,TFFT,FTFT,0.9776
FFFF,TFFT,FTTF,0.9082
FFFF,TFFT,FTTT,0.9016
FFFF,TFFT,TFFF,0.9016
FFFF,TFFT,TFFT,0.9082
FFFF,TFFT,TFTF,0.9776
FFFF,TFFT,TFTT,0.9616
FFFF,TFFT,TTFF,0.9082
FFFF,TFFT,TTFT,0.9616
FFFF,TFFT,TTTF,0.9616
FFFF,TFFT,TTTT,0.9636
FFFF,TFTF,FFFF,1.0177
FFFF,TFTF,FFFT,0.9815
FFFF,TFTF,FFTF,0.9815
FFFF,TFTF,FFTT,0.9776
FFFF,TFTF,FTFF,0.9815
FFFF,TFTF,FTFT,0.9905
FFFF,TFTF,FTTF,0.9776
FFFF,TFTF,FTTT,0.9803
FFFF,TFTF,TFFF,0.9803
FFFF,TFTF,TFFT,0.9776
FFFF,TFTF,TFTF,0.9905
FFFF,TFTF,TFTT,0.9815
FFFF,TFTF,TTFF,0.9776
FFFF,TFTF,TTFT,0.9815
FFFF,TFTF,TTTF,0.9815
FFFF,TFTF,TTTT,1.0177
FFFF,TFTT,FFFF,1.0049
FFFF,TFTT,FFFT,0.9669
FFFF,TFTT,FFTF,0.9669
FFFF,TFTT,FFTT,0.9616
FFFF,TFTT,FTFF,0.9669
FFFF,TFTT,FTFT,0.9815
FFFF,TFTT,FTTF,0.9616
FFFF,TFTT,FTTT,0.9627
FFFF,TFTT,TFFF,0.9627
FFFF,TFTT,TFFT,0.9616
FFFF,TFTT,TFTF,0.9815
FFFF,TFTT,TFTT,0.9669
FFFF,TFTT,TTFF,0.9616
FFFF,TFTT,TTFT,0.9669
FFFF,TFTT,TTTF,0.9669
FFFF,TFTT,TTTT,1.0049
FFFF,TTFF,FFFF,0.9636
FFFF,TTFF,FFFT,0.9616
FFFF,TTFF,FFTF,0.9616
FFFF,TTFF,FFTT,0.9082
FFFF,TTFF,FTFF,0.9616
FFFF,TTFF,FTFT,0.9776
FFFF,TTFF,FTTF,0.9082
FFFF,TTFF,FTTT,0.9016
FFFF,TTFF,TFFF,0.9016
FFFF,TTFF,TFFT,0.9082
FFFF,TTFF,TFTF,0.9776
FFFF,TTFF,TFTT,0.9616
FFFF,TTFF,TTFF,0.9082
FFFF,TTFF,TTFT,0.9616
FFFF,TTFF,TTTF,0.9616
FFFF,TTFF,TTTT,0.9636
FFFF,TTFT,FFFF,1.0049
FFFF,TTFT,FFFT,0.9669
FFFF,TTFT,FFTF,0.9669
FFFF,TTFT,FFTT,0.9616
FFFF,TTFT,FTFF,0.9669
FFFF,TTFT,FTFT,0.9815
FFFF,TTFT,FTTF,0.9616
FFFF,TTFT,FTTT,0.9627
FFFF,TTFT,TFFF,0.9627
FFFF,TTFT,TFFT,0.9616
FFFF,TTFT,TFTF,0.9815
FFFF,TTFT,TFTT,0.9669
FFFF,TTFT,TTFF,0.9616
FFFF,TTFT,TTFT,0.9669
FFFF,TTFT,TTTF,0.9669
FFFF,TTFT,TTTT,1.0049
FFFF,TTTF,FFFF,1.0049
FFFF,TTTF,FFFT,0.9669
FFFF,TTTF,FFTF,0.9669
FFFF,TTTF,FFTT,0.9616
FFFF,TTTF,FTFF,0.9669
FFFF,TTTF,FTFT,0.9815
FFFF,TTTF,FTTF,0.9616
FFFF,TTTF,FTTT,0.9627
FFFF,TTTF,TFFF,0.9627
FFFF,TTTF,TFFT,0.9616
FFFF,TTTF,TFTF,0.9815
FFFF,TTTF,TFTT,0.9669
FFFF,TTTF,TTFF,0.9616
FFFF,TTTF,TTFT,0.9669
FFFF,TTTF,TTTF,0.9669
FFFF,TTTF,TTTT,1.0049
FFFF,TTTT,FFFF,0.9779
FFFF,TTTT,FFFT,1.0049
FFFF,TTTT,FFTF,1.0049
FFFF,TTTT,FFTT,0.9636
FFFF,TTTT,FTFF,1.0049
FFFF,TTTT,FTFT,1.0177
FFFF,TTTT,FTTF,0.9636
FFFF,TTTT,FTTT,0.9393
FFFF,TTTT,TFFF,0.9393
FFFF,TTTT,TFFT,0.9636
FFFF,TTTT,TFTF,1.0177
FFFF,TTTT,TFTT,1.0049
FFFF,TTTT,TTFF,0.9636
FFFF,TTTT,TTFT,1.0049
FFFF,TTTT,TTTF,1.0049
FFFF,TTTT,TTTT,0.9779
FFFT,FFFF,FFFF,1.0049
FFFT,FFFF,FFFT,0.9669
FFFT,FFFF,FFTF,0.9669
FFFT,FFFF,FFTT,0.9616
FFFT,FFFF,FTFF,0.9669
FFFT,FFFF,FTFT,0.9815
FFFT,FFFF,FTTF,0.9616
FFFT,FFFF,FTTT,0.9627
FFFT,FFFF,TFFF,0.9627
FFFT,FFFF,TFFT,0.9616
FFFT,FFFF,TFTF,0.9815
FFFT,FFFF,TFTT,0.9669
FFFT,FFFF,TTFF,0.9616
FFFT,FFFF,TTFT,0.9669
FFFT,FFFF,TTTF,0.9669
FFFT,FFFF,TTTT,1.0049
FFFT,FFFT,FFFF,0.9669
FFFT,FFFT,FFFT,0.7131
FFFT,FFFT,FFTF,0.7131
FFFT,FFFT,FFTT,0.7265
FFFT,FFFT,FTFF,0.7131
FFFT,FFFT,FTFT,0.8716
FFFT,FFFT,FTTF,0.7265
FFFT,FFFT,FTTT,0.7822
FFFT,FFFT,TFFF,0.7822
FFFT,FFFT,TFFT,0.7265
FFFT,FFFT,TFTF,0.8716
FFFT,FFFT,TFTT,0.7131
FFFT,FFFT,TTFF,0.7265
FFFT,FFFT,TTFT,0.7131
FFFT,FFFT,TTTF,0.7131
FFFT,FFFT,TTTT,0.9669
FFFT,FFTF,FFFF,0.9669
FFFT,FFTF,FFFT,0.7131
FFFT,FFTF,FFTF,0.7131
FFFT,FFTF,FFTT,0.7265
FFFT,FFTF,FTFF,0.7131
FFFT,FFTF,FTFT,0.8716
FFFT,FFTF,FTTF,0.7265
FFFT,FFTF,FTTT,0.7822
FFFT,FFTF,TFFF,0.7822
FFFT,FFTF,TFFT,0.7265
FFFT,FFTF,TFTF,0.8716
FFFT,FFTF,TFTT,0.7131
FFFT,FFTF,TTFF,0.7265
FFFT,FFTF,TTFT,0.7131
FFFT,FFTF,TTTF,0.7131
FFFT,FFTF,TTTT,0.9669
FFFT,FFTT,FFFF,0.9616
FFFT,FFTT,FFFT,0.7265
FFFT,FFTT,FFTF,0.7265
FFFT,FFTT,FFTT,0.7224
FFFT,FFTT,FTFF,0.7265
FFFT,FFTT,FTFT,0.8396
FFFT,FFTT,FTTF,0.7224
FFFT,FFTT,FTTT,0.7710
FFFT,FFTT,TFFF,0.7710
FFFT,FFTT,TFFT,0.7224
FFFT,FFTT,TFTF,0.8396
FFFT,FFTT,TFTT,0.7265
FFFT,FFTT,TTFF,0.7224
FFFT,FFTT,TTFT,0.7265
FFFT,FFTT,TTTF,0.7265
FFFT,FFTT,TTTT,0.9616
FFFT,FTFF,FFFF,0.9669
FFFT,FTFF,FFFT,0.7131
FFFT,FTFF,FFTF,0.7131
FFFT,FTFF,FFTT,0.7265
FFFT,FTFF,FTFF,0.7131
FFFT,FTFF,FTFT,0.8716
FFFT,FTFF,FTTF,0.7265
FFFT,FTFF,FTTT,0.7822
FFFT,FTFF,TFFF,0.7822
FFFT,FTFF,TFFT,0.7265
FFFT,FTFF,TFTF,0.8716
FFFT,FTFF,TFTT,0.7131
FFFT,FTFF,TTFF,0.7265
FFFT,FTFF,TTFT,0.7131
FFFT,FTFF,TTTF,0.7131
FFFT,FTFF,TTTT,0.9669
FFFT,FTFT,FFFF,0.9815
FFFT,FTFT,FFFT,0.8716
FFFT,FTFT,FFTF,0.8716
FFFT,FTFT,FFTT,0.8396
FFFT,FTFT,FTFF,0.8716
FFFT,FTFT,FTFT,0.8561
FFFT,FTFT,FTTF,0.8396
FFFT,FTFT,FTTT,0.8708
FFFT,FTFT,TFFF,0.8708
FFFT,FTFT,TFFT,0.8396
FFFT,FTFT,TFTF,0.8561
FFFT,FTFT,TFTT,0.8716
FFFT,FTFT,TTFF,0.8396
