t1,t2,eig
TTFT,FTFF,0.6676
TTFT,FTFT,0.8391
TTFT,FTTF,0.6926
TTFT,FTTT,0.7472
TTFT,TFFF,0.7472
TTFT,TFFT,0.6926
TTFT,TFTF,0.8391
TTFT,TFTT,0.6676
TTFT,TTFF,0.6926
TTFT,TTFT,0.6676
TTFT,TTTF,0.6676
TTFT,TTTT,0.9603
TTTF,FFFF,0.9603
TTTF,FFFT,0.6676
TTTF,FFTF,0.6676
TTTF,FFTT,0.6926
TTTF,FTFF,0.6676
TTTF,FTFT,0.8391
TTTF,FTTF,0.6926
TTTF,FTTT,0.7472
TTTF,TFFF,0.7472
TTTF,TFFT,0.6926
TTTF,TFTF,0.8391
TTTF,TFTT,0.6676
TTTF,TTFF,0.6926
TTTF,TTFT,0.6676
TTTF,TTTF,0.6676
TTTF,TTTT,0.9603
TTTT,FFFF,0.9093
TTTT,FFFT,0.9603
TTTT,FFTF,0.9603
TTTT,FFTT,0.8876
TTTT,FTFF,0.9603
TTTT,FTFT,0.9774
TTTT,FTTF,0.8876
TTTT,FTTT,0.8441
TTTT,TFFF,0.8441
TTTT,TFFT,0.8876
TTTT,TFTF,0.9774
TTTT,TFTT,0.9603
TTTT,TTFF,0.8876
TTTT,TTFT,0.9603
TTTT,TTTF,0.9603
TTTT,TTTT,0.9093
