loaded webppl-oed [v0.0.1-84e993f]
loaded underscore [v1.8.3-84e993f]
loaded webppl [v0.8.1-84e993f]
skip	pTrue	mNo	mName	aWeights	aPriors	trial	pMax	mMax	x	EIG	y	ll
1	0.9590927959373378	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	15	0.9590927959373378	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright and not on. What proportion are hot? in [0, 1]	0.012109709529593247	0.9	-10.203242493181008
1	0.9748889225059613	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	16	0.9748889225059613	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs. How many are bright? in [0, 1]	0.007820786801218437	0.7000000000000001	-10.203242493181008
1	0.9780202471502366	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	17	0.9780202471502366	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright and not hot. What proportion are on? in [0, 1]	0.005120463516021499	0.000001	-10.203242493181008
1	0.9886428824192013	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	18	0.9886428824192013	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are bright and not hot. What proportion are on? in [0, 1]	0.0026500783477266653	0.000001	-10.203242493181008
1	0.993478681589087	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	19	0.993478681589087	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not bright and hot. What proportion are on? in [0, 1]	0.001811002152796953	0.1	-10.203242493181008
1	0.9962423276002914	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	20	0.9962423276002914	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not hot. What proportion are on? in [0, 1]	0.0007370644129429664	0.000001	-10.203242493181008
1	0.997665959427676	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	21	0.997665959427676	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are bright. What proportion are on? in [0, 1]	0.00022774880826911546	0.30000000000000004	-10.203242493181008
1	0.9968972669724885	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	22	0.9968972669724885	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are bright and hot. What proportion are on? in [0, 1]	0.00024523645253080425	0.30000000000000004	-10.203242493181008
1	0.9948461015448906	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	23	0.9948461015448906	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs. How many are hot? in [0, 1]	0.000233113517685673	0.9	-10.203242493181008
1	0.9947181006598368	1	[{"bright":["on"],"hot":["on"],"on":[]}]	{"bright":[0.8],"hot":[0.999999],"on":[]}	{"bright":0.7000000000000001,"hot":0.9,"on":0.2}	24	0.9947181006598368	[{"bright":["on"],"hot":["on"],"on":[]}]	Imagine 100 lightbulbs that are not on. What proportion are hot? in [0, 1]	0.00028817865537909056	0.9	-10.203242493181008
