skip	pTrue	mNo	mName	aWeights	aPriors	trial	pMax	mMax	x	EIG	y	ll
0	0.00006711577239241408	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	15	0.9961138860248083	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.006703091771252341	0.999999	-10.059444431930814
0	0.00006754842099291963	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	16	0.9986211070949003	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.0032445953676073238	0.999999	-10.059444431930814
0	0.000013870709481595148	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	17	0.99896756691048	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.0023717768335735964	0.999999	-10.059444431930814
0	0.00000284785801409055	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	18	0.9991673144302959	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.0018794144167245527	0.999999	-10.059444431930814
0	5.846695235417319e-7	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	19	0.9993037454775013	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.0014511599742276094	0.999999	-10.059444431930814
0	5.872377811677565e-7	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	20	0.9997747999113838	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.0006450476434999312	0.999999	-10.059444431930814
0	1.205493875603957e-7	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	21	0.9998166806620784	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.0004938135413582635	0.999999	-10.059444431930814
0	2.474635243643391e-8	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	22	0.9998474346356525	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.00038880336969229556	0.999999	-10.059444431930814
0	5.079886470162546e-9	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	23	0.9998704240187534	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.0003042729540780391	0.999999	-10.059444431930814
0	5.100249520031094e-9	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	24	0.9999591932354526	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.0001328603636186912	0.999999	-10.059444431930814
0	1.0469533772221924e-9	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	25	0.9999663114909882	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.0001034693289995464	0.999999	-10.059444431930814
0	2.1491290647356e-10	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	26	0.99997167273531	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.00008145565616489554	0.999999	-10.059444431930814
0	4.4116096988385493e-11	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	27	0.9999757211944521	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are not hot and on. What proportion are bright? in [0, 1]	0.00006488031184275431	0.999999	-10.059444431930814
0	4.4289750838093226e-11	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	28	0.9999925119253581	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.000026648031307041516	0.999999	-10.059444431930814
0	9.091522307800618e-12	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	29	0.9999937659898106	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.000021382142873797787	0.999999	-10.059444431930814
0	1.8662501153317403e-12	1	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.6000000000000001],"hot":[],"on":[]}	{"bright":0.999999,"hot":0.4,"on":0.30000000000000004}	30	0.999994714408655	[{"bright":["hot","on"],"hot":[],"on":[]}]	Imagine 100 lightbulbs that are hot and not on. What proportion are bright? in [0, 1]	0.000016278017650437236	0.999999	-10.059444431930814
0	0.05263157894736844	2	[{"bright":["on"],"hot":[],"on":[]}]	{"bright":[0.9],"hot":[],"on":[]}	{"bright":0.6000000000000001,"hot":0.6000000000000001,"on":0.4}	1	0.05263157894736844	[{"bright":["on"],"hot":[],"on":["hot"]}]	Imagine 100 lightbulbs that are bright and not on. What proportion are hot? in [0, 1]	0.28686346317119765	0.6000000000000001	-8.094572820998497
